benchmark,month,sota
hle,2025-06-01,0.2164
hle,2025-07-01,0.2164
hle,2025-08-01,0.2532
hle,2025-09-01,0.2532
hle,2025-10-01,0.3164
hle,2025-11-01,0.3752
hle,2025-12-01,0.3752
hle,2026-01-01,0.3752
hle,2026-02-01,0.4644
hle,2026-03-01,0.4644
hle,2026-04-01,0.4644
lambada,2021-12-01,0.745
lambada,2022-01-01,0.8715
lambada,2022-02-01,0.8715
lambada,2022-03-01,0.8715
lambada,2022-04-01,0.8715
lambada,2022-05-01,0.8715
lambada,2022-06-01,0.8715
lambada,2022-07-01,0.8715
lambada,2022-08-01,0.8715
lambada,2022-09-01,0.8715
lambada,2022-10-01,0.8715
lambada,2022-11-01,0.8715
lambada,2022-12-01,0.8715
lambada,2023-01-01,0.8715
lambada,2023-02-01,0.8715
lambada,2023-03-01,0.8715
lambada,2023-04-01,0.8715
lambada,2023-05-01,0.8715
lambada,2023-06-01,0.8715
lambada,2023-07-01,0.8715
lambada,2023-08-01,0.8715
lambada,2023-09-01,0.8715
lambada,2023-10-01,0.8715
lambada,2023-11-01,0.8715
live_bench,2024-02-01,0.4916
live_bench,2024-03-01,0.4916
live_bench,2024-04-01,0.4916
live_bench,2024-05-01,0.4916
live_bench,2024-06-01,0.4916
live_bench,2024-07-01,0.4916
live_bench,2024-08-01,0.5533
live_bench,2024-09-01,0.5776
live_bench,2024-10-01,0.5903
live_bench,2024-11-01,0.5903
live_bench,2024-12-01,0.7567
live_bench,2025-01-01,0.7587999999999999
live_bench,2025-02-01,0.7609999999999999
live_bench,2025-03-01,0.8234999999999999
live_bench,2025-04-01,0.8234999999999999
live_bench,2025-05-01,0.8234999999999999
live_bench,2025-06-01,0.8234999999999999
live_bench,2025-07-01,0.8234999999999999
live_bench,2025-08-01,0.8234999999999999
live_bench,2025-09-01,0.8234999999999999
live_bench,2025-10-01,0.8234999999999999
live_bench,2025-11-01,0.8234999999999999
math_level_5,2023-06-01,0.2297016616314199
math_level_5,2023-07-01,0.2297016616314199
math_level_5,2023-08-01,0.2297016616314199
math_level_5,2023-09-01,0.2297016616314199
math_level_5,2023-10-01,0.2297016616314199
math_level_5,2023-11-01,0.4002077039274924
math_level_5,2023-12-01,0.4002077039274924
math_level_5,2024-01-01,0.4002077039274924
math_level_5,2024-02-01,0.4002077039274924
math_level_5,2024-03-01,0.4002077039274924
math_level_5,2024-04-01,0.467333836858006
math_level_5,2024-05-01,0.5104796072507553
math_level_5,2024-06-01,0.5168051359516617
math_level_5,2024-07-01,0.5263406344410876
math_level_5,2024-08-01,0.5327605740181269
math_level_5,2024-09-01,0.8918051359516617
math_level_5,2024-10-01,0.8918051359516617
math_level_5,2024-11-01,0.8918051359516617
math_level_5,2024-12-01,0.947129909365559
math_level_5,2025-01-01,0.9648791540785498
math_level_5,2025-02-01,0.9648791540785498
math_level_5,2025-03-01,0.9648791540785498
math_level_5,2025-04-01,0.978285498489426
math_level_5,2025-05-01,0.978285498489426
math_level_5,2025-06-01,0.978285498489426
math_level_5,2025-07-01,0.978285498489426
